# games=161102 signatures=430838 systems=112 active_sources=248
source_id	source_items	sigs_owned	games_covered	coverage_pct
libretro-dat-sony-playstation-portable-umd-video	836	2505	835	99.9
libretro-nointro-sony-playstation-portable-umd-video	836	0	835	99.9
libretro-nointro-nintendo-nintendo-entertainment-system	7051	7356	7048	100
libretro-dat-nintendo-nintendo-entertainment-system	5201	15603	5200	100
libretro-dat-nintendo-wii-digital	3277	9831	3276	100
libretro-nointro-nintendo-wii-digital	3277	0	3276	100
libretro-dat-nintendo-e-reader	3240	9720	3240	100
libretro-nointro-nintendo-e-reader	3240	0	3240	100
libretro-nointro-commodore-amiga	3143	9397	3142	100
libretro-dat-amstrad-cpc	3012	9036	3011	100
libretro-nointro-nintendo-game-boy	2221	156	2220	100
libretro-dat-nintendo-game-boy	2171	6513	2171	100
libretro-dat-enterprise-128	1934	5802	1934	100
libretro-dat-microsoft-xbox-360-title-updates	1164	3474	1164	100
libretro-nointro-microsoft-xbox-360-title-updates	1164	0	1164	100
libretro-nointro-sega-game-gear	911	6	911	100
libretro-dat-sega-game-gear	910	2730	910	100
libretro-nointro-microsoft-msx	901	6	901	100
libretro-dat-microsoft-msx	900	2700	900	100
libretro-redump-commodore-amiga-cd	595	1785	595	100
libretro-dat-mobile-palm-os	544	1632	544	100
libretro-nointro-mobile-palm-os	544	0	544	100
libretro-dat-nec-pc-engine-turbografx-16	447	1341	447	100
libretro-nointro-nec-pc-engine-turbografx-16	447	0	447	100
libretro-dat-atari-st	404	1016	404	100
libretro-nointro-atari-st	404	0	404	100
libretro-dat-atari-lynx	317	951	317	100
libretro-nointro-atari-lynx	317	0	317	100
libretro-dat-snk-neo-geo	278	278	278	100
libretro-dat-commodore-cd32	274	822	274	100
libretro-dat-mattel-intellivision	252	756	252	100
libretro-nointro-mattel-intellivision	252	0	252	100
libretro-dat-commodore-vic-20	236	708	236	100
libretro-nointro-commodore-vic-20	236	0	236	100
libretro-dat-atari-jaguar	235	705	235	100
libretro-nointro-atari-jaguar	235	0	235	100
libretro-dat-atari-7800	227	681	227	100
libretro-dat-bandai-wonderswan-color	227	681	227	100
libretro-nointro-atari-7800	227	0	227	100
libretro-nointro-bandai-wonderswan-color	227	0	227	100
libretro-dat-bandai-wonderswan	219	657	219	100
libretro-nointro-bandai-wonderswan	219	0	219	100
libretro-dat-sega-sg-1000	212	636	212	100
libretro-nointro-sega-sg-1000	212	0	212	100
libretro-redump-commodore-cd32	203	609	203	100
libretro-dat-microsoft-msx2	195	585	195	100
libretro-nointro-microsoft-msx2	195	0	195	100
libretro-dat-coleco-colecovision	193	579	193	100
libretro-nointro-coleco-colecovision	193	0	193	100
libretro-dat-magnavox-odyssey2	131	393	131	100
libretro-nointro-magnavox-odyssey2	131	0	131	100
libretro-dat-sinclair-zx-spectrum-3	130	384	130	100
libretro-nointro-sinclair-zx-spectrum-3	130	0	130	100
libretro-dat-nintendo-new-nintendo-3ds-digital	119	357	119	100
libretro-nointro-nintendo-new-nintendo-3ds-digital	119	0	119	100
libretro-dat-atari-5200	116	348	116	100
libretro-nointro-atari-5200	116	0	116	100
libretro-dat-nintendo-wii-u-digital	108	324	108	100
libretro-nointro-nintendo-wii-u-digital	108	0	108	100
libretro-redump-acorn-archimedes	79	237	79	100
libretro-dat-watara-supervision	74	222	74	100
libretro-nointro-watara-supervision	74	0	74	100
libretro-redump-memorex-visual-information-system	72	216	72	100
libretro-redump-arcade-sega-lindbergh	71	213	71	100
libretro-dat-benesse-pocket-challenge-v2	66	198	66	100
libretro-nointro-benesse-pocket-challenge-v2	66	0	66	100
libretro-dat-sony-playstation-portable-psx2psp	65	192	65	100
libretro-nointro-sony-playstation-portable-psx2psp	65	0	65	100
libretro-redump-commodore-cdtv	61	6	61	100
libretro-dat-commodore-cdtv	59	177	59	100
libretro-dat-interton-vc-4000	56	168	56	100
libretro-nointro-interton-vc-4000	56	0	56	100
libretro-dat-emerson-arcadia-2001	48	144	48	100
libretro-nointro-emerson-arcadia-2001	48	0	48	100
libretro-dat-gce-vectrex	45	135	45	100
libretro-nointro-gce-vectrex	45	0	45	100
libretro-dat-sony-playstation-portable-umd-music	44	132	44	100
libretro-nointro-sony-playstation-portable-umd-music	44	0	44	100
libretro-nointro-atari-8-bit-family	40	6	40	100
libretro-dat-atari-8-bit-family	38	111	38	100
libretro-redump-bandai-playdia-quick-interactive-system	38	114	38	100
libretro-dat-fairchild-channel-f	34	102	34	100
libretro-dat-sega-naomi	34	102	34	100
libretro-nointro-fairchild-channel-f	34	0	34	100
libretro-redump-sega-naomi	34	0	34	100
libretro-dat-epoch-super-cassette-vision	33	99	33	100
libretro-nointro-epoch-super-cassette-vision	33	0	33	100
libretro-dat-philips-videopac	32	96	32	100
libretro-nointro-philips-videopac	32	0	32	100
libretro-dat-vtech-creativision	31	93	31	100
libretro-nointro-vtech-creativision	31	0	31	100
libretro-dat-atomiswave	28	84	28	100
libretro-dat-gamepark-gp32	28	84	28	100
libretro-nointro-gamepark-gp32	28	0	28	100
libretro-dat-nintendo-super-nintendo-entertainment-system	25	25	25	100
libretro-dat-tiger-game-com	23	69	23	100
libretro-nointro-tiger-game-com	23	0	23	100
libretro-redump-arcade-namco-sega-nintendo-triforce	22	66	22	100
libretro-dat-konami-picno	20	60	20	100
libretro-nointro-konami-picno	20	0	20	100
libretro-redump-arcade-sega-chihiro	19	57	19	100
libretro-dat-hartung-game-master	18	54	18	100
libretro-nointro-hartung-game-master	18	0	18	100
libretro-nointro-rca-studio-ii	18	3	18	100
libretro-dat-mobile-symbian	17	51	17	100
libretro-dat-rca-studio-ii	17	51	17	100
libretro-nointro-mobile-symbian	17	0	17	100
libretro-dat-casio-pv-1000	13	39	13	100
libretro-dat-nintendo-sufami-turbo	13	39	13	100
libretro-dat-sega-naomi-2	13	39	13	100
libretro-nointro-casio-pv-1000	13	0	13	100
libretro-nointro-nintendo-sufami-turbo	13	0	13	100
libretro-redump-sega-naomi-2	13	0	13	100
libretro-dat-funtech-super-acan	12	36	12	100
libretro-nointro-funtech-super-acan	12	0	12	100
libretro-dat-casio-loopy	10	30	10	100
libretro-dat-snk-neo-geo-pocket	10	30	10	100
libretro-nointro-casio-loopy	10	0	10	100
libretro-nointro-snk-neo-geo-pocket	10	0	10	100
libretro-dat-sharp-x1	8	24	8	100
libretro-nointro-sharp-x1	8	0	8	100
libretro-dat-nec-pc-98	6	18	6	100
libretro-dat-commodore-plus-4	5	15	5	100
libretro-dat-nec-pc-engine-supergrafx	5	15	5	100
libretro-nointro-commodore-plus-4	5	0	5	100
libretro-nointro-nec-pc-engine-supergrafx	5	0	5	100
libretro-dat-entex-adventure-vision	4	12	4	100
libretro-nointro-entex-adventure-vision	4	0	4	100
libretro-redump-nec-pc-88-series	4	12	4	100
libretro-dat-leapfrog-leappad	1	3	1	100
libretro-dat-sharp-x68000	1	3	1	100
libretro-dat-sony-playstation-minis	1	2	1	100
libretro-nointro-leapfrog-leappad	1	0	1	100
libretro-nointro-sharp-x68000	1	0	1	100
